listing_id,photo_query
bacd5c99-8938-4a40-9561-3725c92c3bed,pile of books study
92772f50-7b81-456f-a119-ffd9d0030781,usb cables charger
1cb1c9c8-6f96-464a-a00a-0fbb3d50f4a3,standing floor fan
9235a477-38e5-45e8-8555-b189c754e348,sneakers shoes
536a82d5-3c92-4ce4-b51e-25caac37316a,pile of books study
47006b5e-305a-469f-849a-b1a6781277bb,winter parka coat
89186ff9-17df-43c2-b3a2-705cedad16ed,chest of drawers dresser
613c7ebf-c120-4a31-8fbb-8b63797812ae,small dining table
84d2d0e1-50dc-4b2c-a0f8-ffc1009b9004,wooden bed frame
5e072d58-0e81-4cfa-a37f-1084791248b7,mattress bedroom
f5a1338b-ae78-4e92-9894-7d666a80bf25,computer monitor desk
676d15af-78a5-4cbf-a6d6-7f21a6fa9ddc,small dining table
da82866d-c129-437e-ba83-f20685b68e84,pile of books study
1e945fc7-b057-4a30-a06e-2a1ba431da5f,laptop computer
6501369d-7539-425b-8d4e-1e3fdf8d65a7,college textbook
da979d72-eb27-4538-9489-c57db8352157,open textbook desk
d0849e5b-57de-4429-8e50-43dcbb398d57,chest of drawers dresser
adff85eb-8186-498e-9880-bef0ee36fddf,mattress bedroom
732a659f-e847-4f48-93a4-2f312275d80e,open textbook desk
e919d7fa-2abb-4e1b-a7d4-eaf8aa8f1d0a,black mesh office chair
6a10f71d-606f-44a3-ab06-dd38c18f0272,cardboard moving boxes
f2719710-3373-4937-a5d9-c1bac43b860d,computer mouse desk
cb72a6a2-d3bc-43f9-9123-4c493783580c,bicycle pump
39a53c88-4526-446a-a50b-5c53f061276a,small dining table
ac17bff0-bac0-47a6-a0bc-49d52d438847,pile of books study
5b85b9e0-4c46-408b-b89f-fbdfc2e46dab,electric scooter
c5bea319-91b1-4055-8f0b-8f1cce28d126,pots and pans cookware
fd5f5cdf-01b7-4dee-8cea-41dbf9c03473,rain jacket
6f537dc2-43aa-4608-a6fb-53896718f4bb,pile of books study
63070180-558c-42be-a80f-e194b2974bc3,clothes rack hangers
eaeb284c-3584-4afc-96a2-3b3a7d688c1a,tablet device
3f103508-aa28-4097-a611-11b708f3d3fb,grey sofa couch
e3fb0ff6-57c3-437a-bad8-53a732512fa0,open textbook desk
19b60f16-85b2-472c-9c3f-fa76cedf140a,college textbook
64f6d65e-ec79-4d7a-aafa-76c4292e53bb,black-brown wooden desk
55fd4535-072d-41f8-b9a8-039502121eab,wooden bed frame
2f83c24b-c750-4c5a-ab63-ef7e57ea7a2c,vacuum cleaner
c5f13697-b641-4be1-8a71-fcad9498da96,birch sofa couch
ecacb53a-cf53-4826-91c0-b2b0d5229b6b,dumbbells weights
35e3ec13-3ffa-485a-b1bf-2f48ed347601,open textbook desk
4b0b5fee-370d-40e4-93be-0de463fea378,e-reader ebook
89a9f00b-3d49-4137-a3d7-3c6722e1353a,dumbbells weights
6215594e-6b03-4b1d-9d11-a61dc66f1c76,tennis racket
d1ccd84a-f24e-44d8-9e1d-ce43fd50e0b3,black mesh office chair
881cdf8e-69a5-4056-9232-c37095d7b881,small dining table
f1ff3455-7d8d-4ba2-9dd1-65bf402afbab,tablet device
87880366-1d76-48f3-8bf0-4a5718a8aced,winter boots
b15f414e-b072-4c01-8050-0b24134630dd,birch desk chair
3189acc2-4c05-4743-a44c-4f6c230ca373,over ear headphones
a7175544-721b-49d1-af9e-23699b6c6261,stack of textbooks
5fe16ef6-878c-411a-a25c-59d2854456a4,stack of textbooks
ebe62fa6-83e1-4c36-83c6-9df29d7d76e4,coffee table living room
fbcf66e1-e2f9-4699-bbac-69707664d18e,kick scooter
c54f3268-aa82-403f-b8bf-53b556c3a8e3,college textbook
18926fdf-513f-4080-8b20-222e51dac131,electric scooter
cffd2ada-edf5-4ce0-8bb0-8cb02f157d13,water filter pitcher
ed1c5872-cefc-4c7e-94d1-7337ca6f8aa8,wooden dining chairs
6177c052-8448-486e-8f08-d0d6f9596efb,wool scarf gloves
b892d3e8-b541-4874-8311-44a91dd09191,road bicycle
00a60d37-e5e6-46a4-afc9-b7dad0f78a03,stack of textbooks
97ea2bdc-34be-4620-9a7f-3023659c6c69,coffee table living room
9945523c-4b2c-432b-b4ec-450441afa016,college textbook
3c883e3e-6555-4a5d-b3ad-e7257ee64bce,road bicycle
73481ad7-de3d-4122-b2e1-9dd132629ab9,bicycle pump
dcae4417-e137-4e86-b331-2c9e92aa6447,pile of books study
7b434a54-8b3f-4bfb-883a-8ce55ea75cea,spiral notebook binder
72340a25-716c-4075-8656-129ec31d5d8e,electric kettle
bce5f912-8da2-478c-b75c-51f3a5696874,stack of textbooks
01a0c0c5-d6c1-4c03-a943-dd87f6438735,college textbook
6f1787d8-f2b4-44ac-90e3-989421accb78,spiral notebook binder
a9e0141c-dbb3-4a36-8571-266730ce145b,coffee table living room
b08780c8-4c19-403f-8120-3cf91aca5e3a,toaster oven
f56ae90e-b7f1-456a-b089-85784c3a592e,hybrid commuter bicycle
a67be7f4-3bae-4d8f-8ab8-f2fab965c3ac,black mesh office chair
b26eacb7-bf1a-4005-9e9c-b38d7e23ea09,cast iron skillet
4222300b-b5f8-4d25-a7f3-8097638b8b79,usb cables charger
d9dbbbf3-df71-40fc-b258-2dfb80ea3d9b,coffee table living room
3b40904a-6886-45ae-bb6e-50b846f4b0ee,mattress bed frame
f990340e-83a8-45bc-8bfc-5aa39939852a,standing desk office
340cb124-4b15-459d-9581-80ac04b0c483,mattress bed frame
562db82a-3e3b-45f8-8ebc-2f735e5407b5,vacuum cleaner
6d031027-8f8b-42ff-ba39-09f91d6badf2,grey sofa couch
fb9a5157-e7e3-4b97-992c-1e7e57f57453,birch wooden desk
eb4ad25b-d63e-458e-8e2b-c648af42b16e,coffee table living room
ab937f18-9670-4a29-896c-7c0d932d19e2,laptop computer
cd52c235-a9c3-4b71-ae58-9f105cc81b3d,bookshelf shelving unit
a0460f3f-49bd-47df-9d5e-91ee59c20c8a,mechanical keyboard
078bbc37-2426-42f0-a011-973f4d58189a,college textbook
d120fdb0-82a9-4463-8946-b1bede26ffd2,pile of books study
5342efb5-022e-4d8a-806b-6b4d8681e0d5,kitchen blender
09c0d9ec-b6af-4b75-9158-b5fa448768e0,ski jacket poles
bb87afe9-4597-4064-ac89-6fff529b9f88,shopping trolley cart
bbf13d36-0ce4-4aa8-84c7-8aa1a8597aff,college textbook
e9efeb11-7003-47d3-9ed3-a1adffc42f3d,stack of textbooks
26f271a6-24aa-4bf3-9363-3c3555e47bc9,standing desk office
51a6b15a-4347-430d-a6a9-1d747dc27125,kick scooter
a173ca0e-e7fc-4042-bb55-b28520bbbaaf,chest of drawers dresser
34fb6f3e-131b-4425-92b3-bce0d40c4c16,spiral notebook binder
8898aa0f-8e26-4b0c-8221-e7c468dc13f3,wooden bed frame
6dfb746e-d1ad-4ada-8e22-39687e702524,small dining table
f84ec975-e1dd-4ced-b0ff-2af15a8cc2d3,small writing desk
a5e8b4f4-b588-4deb-97f8-c94d273f7fd6,stack of textbooks
438f0e69-a664-482e-8335-f53be39c6194,college textbook
db53f48b-09eb-4d1d-b3ff-3d23f8e61aa9,water filter pitcher
6238c1ce-6d12-494d-9130-f50e4e4d83c1,small writing desk
b4ca3f8f-565c-4974-a227-43014cfedb7b,clothes rack hangers
74b2d4de-ed2b-4e31-bc5b-a228288a9107,small writing desk
cd50c9f8-aca5-4a32-8beb-bbef08f6e364,bike helmet lock
479875e5-c394-4832-93cb-e20d3f6823fb,spiral notebook binder
e5c23a39-1e39-4822-8b48-6ce1e0780835,shopping trolley cart
a32332a3-6ecc-469c-833a-7cee14d40183,wool scarf gloves
bddf4cb8-bf67-4652-b95c-8001d01e8065,college textbook
733f3c8b-26f1-4a77-892d-709f1760d1d8,winter boots
ce945666-5c66-40bf-8978-0cc463d79ab9,over ear headphones
4b000e1d-1ab8-4652-83cf-1ee6d412081c,electric kettle
5ad3ddf1-7dba-4248-abda-7b5c4552599e,e-reader ebook
9fe72f1c-237d-42b6-9bfc-01a8508adff3,shopping trolley cart
bd3ab066-9629-47bf-bb0a-011dc5893112,standing desk office
4ff94f89-5d96-43fd-b965-b4258ac7b0d0,small writing desk
f5414638-0d30-4511-b083-5562a4cd3fff,electric kettle
78c62964-a2b2-4f5b-b0b8-339fe0291260,over ear headphones
0fde000c-3890-49ee-8ef9-8c10df10e7bd,stack of textbooks
e1bdb88c-ea73-457e-b1d2-470975552e6f,bookshelf shelving unit
2cdc058f-82cf-4db6-9fee-fe3213c271f1,pots and pans cookware
67d167a7-7eaa-4b5b-87de-8233c5f24e66,birch sofa couch
5ae31a27-2b3a-4ecc-94b9-a0948c8fcfdc,pile of books study
17663dee-a72c-436e-9d78-18c2d0a28d94,standing desk office
17b4cd07-243b-4297-8257-78838308dbe9,walnut sofa couch
e1ca2fc3-9caa-4289-8ccb-db73f7f0b089,oak wooden desk
dc2e15c5-90f6-438b-bbfa-1f1d223ebcfd,bike helmet lock
6879b6c5-e4f3-4768-aad0-25edc2a38943,oak desk chair
54432488-032a-4852-9405-ef3576888bac,ski jacket poles
476cdd16-b68b-4564-b4fe-caead00ea3b2,stack of textbooks
40e82213-1338-447c-8626-9980727695fd,small dining table
3a384d51-3065-4da1-a605-8066f6165cb6,open textbook desk
51b90a73-d2a5-4dc2-b039-6a29aa5a6043,over ear headphones
cf3e7aa4-26ad-4c99-a921-8dac7b74af30,rain jacket
ba5a6e52-ce65-4f46-b285-034e3b63c2f9,computer mouse desk
83c2b1ed-d72b-4a15-bc2f-7125a23e7c9e,tablet device
5ce2831c-b97c-4e21-b7ab-40abdabbf91f,cast iron skillet
9f1307ec-6601-44ee-8ac7-1a98dfb7526d,spiral notebook binder
cc99ed97-3886-473e-b8f1-b982e2b91b84,yoga mat
4fdefb7e-eac0-476b-a979-97e9ea281eff,open textbook desk
967696b7-b019-40b8-bf73-deeb1ad04d30,tablet device
04d5860e-ec66-46ad-b01d-58c3218dddc9,mens suit
efbd5aa2-fa7c-42fe-953e-51d3d36773f2,open textbook desk
0ca4a775-dff9-4a40-81d0-6075aa1173fc,cardboard moving boxes
9ad32ef5-353d-4dae-a952-cc93a54d1120,white wooden desk
09970f75-43e1-4877-8cf0-e983b60eaf7d,computer monitor desk
367b4697-dbca-45ff-87d7-27747fee68ae,spiral notebook binder
0d3f86e6-fc2c-46c5-bf14-b280831bfb6a,spiral notebook binder
2c33d107-8ba8-42ca-95c3-0d9a30b2bf3d,wooden dining chairs
b0e60f3c-7bcb-4345-9d10-03f605418a77,stack of textbooks
2c4dbcc1-0717-42c1-9f36-72a5fd3ec3ea,standing desk office
806eaf21-8166-4343-8725-222e954d1fb8,open textbook desk
4445eb36-36af-4adf-909f-f5d9591ca46c,oak wooden desk
af8c1ebe-9243-4b22-bc15-5712f54a8e92,stack of textbooks
2bf405c3-1cc7-40bb-b5ca-43f750ea42d0,electric kettle
0e426053-cba8-4632-8d16-ff2be180e0ef,over ear headphones
2c2a6ebe-d09c-419f-a8e1-d3464cd8ea6d,yoga mat
1489d1bb-b987-494e-97e2-a20e8a43200b,wooden bed frame
5368b7b4-73c6-413e-b9dd-392be60a21d4,pots and pans cookware
bf966f49-f52c-4cf6-811a-74fedd342396,clothes rack hangers
5cf35963-2f5d-4a90-ad5b-9d91e4c22bb6,college textbook
717ef76c-36c7-41fb-b631-0857bf04e703,wooden dining chairs
43469ce7-fe8a-46be-a1d2-536630399875,college textbook
4601169e-db86-4ac5-8747-34554b0366e6,mattress bedroom
e1c06cc4-90bd-4a05-b31c-ce8b45a32725,standing desk office
93712735-8140-4fe2-a52c-fdcc8ef95ab2,rain jacket
3e700087-b9fc-4907-a9a3-30a60d3e0b54,coffee table living room
5cf5958d-e250-4940-bcbd-f5c52c9ac6dc,wool scarf gloves
1c047f4e-9973-4495-a7b5-14e7591608a0,stack of textbooks
a4666c75-84c9-4031-90e7-e197964bc47c,spiral notebook binder
677c36e5-373c-409c-b251-b4a42c55d5ce,winter boots
8b6e54dd-b7ad-46fa-9b6a-1c69a078eb65,mattress bed frame
a23cc455-a601-405a-92b8-501cac8bdfe5,pressure cooker instant pot
642065d4-0338-4ac3-9220-a4c4f48cc077,hybrid commuter bicycle
23346e52-85d0-402b-8f55-f88ae3836716,winter boots
6940f55b-4aa0-436b-b01d-859734673991,rollerblades skates
b140d8c4-ddde-4155-bc1d-60f72e677cdc,rain jacket
07f791f7-1602-486d-a3da-278f4bdc8641,cast iron skillet
8cdca155-1376-47f5-8371-ded05abd777e,birch desk chair
5a6d674a-19c8-428e-8da7-a4fabc20f575,kitchen blender
28fbe754-850c-40b3-aeda-d6af688b048f,mechanical keyboard
e3a1d050-99f2-4c14-b615-eb94dfbd473d,computer monitor desk
825aa88e-3f57-44d7-ab04-5448b59d7357,computer mouse desk
9434fdd0-10e7-4f47-ab37-3b97b10e106e,small dining table
6df2bc49-30f5-44df-bfa6-d5eabda16ed2,tablet device
08f7ca75-a6c5-4974-ab16-83a27835e306,wooden bed frame
f4ef061d-65d9-4d85-ae4f-5658969c184e,mattress bedroom
755caa5d-6349-4ecf-baf6-a907523657b6,computer mouse desk
b777a03a-851e-4d86-9bad-687925c503c5,laptop computer
3333f1e5-5be4-4c6c-97ea-5d430c0514e9,yoga mat
d5ebe77f-ef60-460e-a06e-f8d466941e3c,navy sofa couch
462a00bb-b8b7-4a52-9795-84151dab7685,usb cables charger
95d46042-6c04-46f5-b425-8a2ba77dea52,cardboard moving boxes
9b595606-e5f6-444c-b3e3-6bd16e8628f7,ski jacket poles
f99d603c-b9a9-416a-977b-3edabbe05e81,air purifier
c988a786-a97d-4521-987b-d4459cbe2e2c,winter boots
e26a46b3-dd63-45df-9810-2130fbbdd0d2,winter parka coat
48493aed-b653-44e3-a211-b3dba941f17a,college textbook
dd0f92d9-1f3c-461b-98f9-7058835a8135,small writing desk
b0d31a09-60e3-4664-87ea-90bd0856b9e0,stack of textbooks
4c61ea7e-3b50-4ac2-a7e2-34787dccd6d7,chest of drawers dresser
3aca32e4-73f7-4193-b76c-30599bf9c4ef,spiral notebook binder
852cc56b-9a13-405b-8211-d5b0301305bf,mattress bed frame
f13f76c9-6dde-4a3c-9f74-809ad10c5458,rollerblades skates
acae4a34-9138-45dc-b95e-bbb711e45215,rain jacket
4afb05ef-80c0-459a-bc81-003ea39a9388,wooden dining chairs
6f8d330a-8813-44f5-ac60-799ae3b2b769,shoe rack
37ae54f7-af5e-412a-8f40-4de20659641b,sneakers shoes
8b306922-5983-4e72-b154-6e3d6f1bcddd,mechanical keyboard
1368b545-920d-4f13-b2fd-1c3986520b09,winter boots
0ed8013f-9fa8-4801-bfb0-54ef1d004c64,desk lamp
41f8b160-15eb-41fe-a16f-01d936094246,bookshelf shelving unit
4d64a28c-8349-4e1a-9242-4ebd8505d4c5,bike helmet lock
456639d9-b18e-4ab0-aabf-917306b478a4,electric scooter
90c29ca4-3f07-4856-b8f8-473f87dbdc52,small writing desk
d7223262-f15c-4044-ba9d-194999c573e5,winter boots
0942c23b-36b2-44e0-9830-713186e05348,basketball
95882d31-07ad-4f1b-88af-7a363230a2f2,spiral notebook binder
612e180a-2212-4a08-8850-78c54a163aed,bicycle pump
001eacb7-bc39-46b4-a6d5-509451a62b63,curtains window
1f4f844f-8920-4d68-8ce6-87756f52cb23,college textbook
c0a51e39-5e45-4d22-80bd-4965474103c5,stack of textbooks
c371c5ca-69f5-47f8-b2fc-5faa68061d9e,desk lamp
93c04f5a-b479-426e-ae1a-d1fd8e8c9e0b,computer monitor desk
7228aeb1-0c7a-4d3c-9f40-73b4470e41e5,weight bench gym
3b75bf9b-df8c-47be-8138-1b969d8481e8,desk lamp
9ac2fa96-0080-40bf-81dd-06ea52b8f2ed,pile of books study
8a46054d-9813-4f3e-99b3-fa9cec2033d3,cast iron skillet
9da1335d-3e20-4a38-ad85-d0c415a77516,college textbook
4701d6c8-e20c-4712-afac-19c03aeea641,electric scooter
d2653b32-ffd9-4ab1-a61f-7dc88da7c682,pile of books study
81e2fc0d-79a4-41fc-8e8e-9157f200902d,usb cables charger
7c4a1286-62e2-49cb-b6ec-3e8c52c55bcf,college textbook
d4c55cb5-c01f-49e2-ac6c-22878a3bafed,sneakers shoes
ca98843e-874d-4c6c-ba08-737d43a6437d,electric scooter
9fa7baa7-34f8-4b34-b256-3b952cb2218f,wool scarf gloves
f255d149-84e3-4673-a7a0-f4d1bdaaefbf,standing desk office
c0ebfb07-a7ea-481a-b016-77b600ba8fea,pressure cooker instant pot
33bf1f9f-da60-4d8a-8a3e-aee009f6cef9,black mesh office chair
be1b1176-683b-4b3a-b98e-a062edd756e5,stack of textbooks
c7e289ae-e471-405c-ab88-e4b59eb902d3,rice cooker
fe850c57-ee34-4115-8595-a0a3967c8f51,college textbook
8b4e1977-7a48-4726-81c5-3ef4f4ae7f12,desk lamp
3de88bef-6307-4169-b900-1858561e0e55,over ear headphones
6a1992a1-a7e5-427a-ba15-0fdef081d619,mattress bedroom
db96c943-47f9-4ff4-b4df-5c51d40b1169,bike helmet lock
317fbe38-7838-46cc-9903-70fd1f800369,pots and pans cookware
376f2cb7-2047-465d-b7b1-61b30cf06dab,coffee mugs glasses
804e686c-d6cb-4680-80ec-4690134cab96,pressure cooker instant pot
19a21389-b6b0-4060-96e5-38615899a41e,black mesh office chair
ddf1249b-bd57-4ec8-a76f-d72bb6009b6a,sneakers shoes
8a24ccb2-9f70-4e21-b1e3-d5f851b51d11,ski jacket poles
564a40b6-42d7-4af7-ac4a-9dd02c5f67dc,college textbook
0c21f54b-1386-4308-bdb0-862ce829cd5d,vacuum cleaner
eda46f92-1199-410d-aac6-bd911cb65070,tablet device
f9a9f941-87d4-4594-9d56-e44b3c94735f,wool scarf gloves
587f8f76-fd1e-4ac0-ba23-2a07cd91fc4e,over ear headphones
bbd981af-926c-45db-8178-8934a9fd8c0b,espresso coffee machine
9b428916-d78b-462a-9cb3-421c87bf74b9,chest of drawers dresser
f7d1d42c-d247-4b49-90ad-4fb9a3a54849,wooden bed frame
c75b1293-8267-42a4-b78e-4c4ffb3df52f,wooden bed frame
929fe289-f6bb-48e9-bfaa-b1e9dca141e2,desk lamp
dfb31c2b-ce28-4550-802c-66bfc2b42f83,sneakers shoes
71e43f97-5cb6-4405-bb99-f05bbf9981ab,e-reader ebook
14af7d67-5092-4707-9a83-4293424cfff5,mattress bedroom
0e73a2d7-d306-4c79-b892-9d61f5bca2c8,spiral notebook binder
649c42a8-4c24-4f52-a8d6-6558b1564ee2,coffee table living room
2182a8a5-07b7-4491-85b3-3696a4573f7c,curtains window
5f4747f5-0674-480d-9f65-3a9ca785d8d1,mattress bedroom
a996b5fd-ab5d-4653-9e24-705aa51ec398,coffee table living room
8607f95c-f823-43fb-976d-28941d2e8552,toaster oven
15ffccac-6318-4ccb-8972-7eeeebaf6503,e-reader ebook
3d1692a9-31bd-48a3-9c44-bcb87da99383,rice cooker
f71969e6-8bdf-4f60-8dc8-cae3528dd04c,rain jacket
5ba4358a-ee72-4479-a2ec-7129b1ba05e0,e-reader ebook
10cdf5c7-f54b-47b0-a25b-15eb7ca7c045,tennis racket
51b614bb-7119-4241-afcc-bb1287c60fd7,spiral notebook binder
db80c304-e1e8-44b9-9f6c-fb1d9522b2e7,kick scooter
dcd5c0fb-0540-484f-890c-4c6c5cd19b27,electric kettle
63cbba12-8df2-42f2-a3d1-f4fc3a078abf,white wooden desk
e9370c08-1a23-4715-b595-3554fe0e2f57,oak desk chair
1894ee8d-c4c6-4693-8cda-0b3e453081a2,pile of books study
e041a612-ec43-4f19-801c-a8b4f28afab8,electric kettle
ab5ac6d3-f3b9-4e9e-b6e2-e3ea0d7be2dc,wool overcoat
a9d0fee7-c0ed-4133-8765-92017f4f95e1,chest of drawers dresser
4006fe35-1353-45b0-b76e-308e0062c453,rice cooker
bb641206-8c2d-4bf1-93e2-e77822499b6b,spiral notebook binder
a05bbe84-2890-495e-ba0c-51b1cfe4909c,over ear headphones
83b943ae-55a2-449f-af6a-8c99b27af36f,stack of textbooks
8a0fcbe6-6a6f-4609-96fd-5e1a07a6ccaf,road bicycle
356d8df8-dd69-4f7d-a87e-0c7d8c5cfd6c,desk lamp
a968be6f-0066-45dd-960b-21dbd2b5f710,mens suit
b080bc8b-32e0-478b-a88e-0578c64791d9,coffee table living room
eae8b450-219a-4e36-96aa-0bb401d716c2,rain jacket
93080960-eb08-4a26-bb57-5326ecda7d7d,shopping trolley cart
d73af723-b0b4-4c9b-8c9a-a571d3370c45,wool scarf gloves
12c6fce3-becb-4891-85e4-d00b35bc6d67,black mesh office chair
9e0169aa-bd69-4d81-b2bd-ec62afebcaaf,open textbook desk
f5b2fb8d-1610-4e0d-88d3-4b746df15192,open textbook desk
16866e28-41cc-47d2-b323-1679f2b82b5f,tablet device
bbfc77d1-d1a6-40ba-8772-9e1fe529e44e,open textbook desk
436154e7-f4a6-4d91-ab3e-3e44fd53cda7,pile of books study
7886a1c6-e579-400a-ad8e-413c34dd4c3f,computer monitor desk
ad283fba-895e-40b0-8365-33112d4a5889,tablet device
d0647280-a677-48ae-9224-2f2fe7217b5d,bike helmet lock
9ea0e81a-e30a-44b7-9c53-5ffbf84300de,coffee mugs glasses
8af88321-66af-4057-8802-46730bf98dc6,wooden dining chairs
ffb2a281-4357-4d58-a8d4-b1e261c0f612,toaster oven
336ea5e8-1b5b-4bf9-88aa-e2413b87d663,standing desk office
5fa50627-36fa-4d1e-9e58-c0416b12a532,e-reader ebook
624b3b23-0793-4a99-82f3-d97b92433200,spiral notebook binder
9a25504a-2267-4c3d-b28a-000b3e8e46eb,stack of textbooks
11776e2e-233d-410c-b46e-443cfb75559e,small writing desk
b7f6d638-440e-4849-a195-85d388efb88c,laptop computer
44fdc198-ed3f-4fdb-abff-9f9b1fd53114,pots and pans cookware
f2464b3e-ba20-4126-8543-1533caadfe5c,cast iron skillet
b10f5ec0-7640-42b5-b7d8-7450ae493f3e,shopping trolley cart
d2084cf5-d711-430b-8524-dac7f0a26777,coffee mugs glasses
d59a55ef-2d82-4a0e-9a60-1e442a25f348,black desk chair
53aaaeb9-43a6-4649-9c46-56f828defeb3,toaster oven
1bc1420e-acb2-48bc-ac41-94b276a34850,college textbook
eb621914-6db2-44f2-a637-6be7046a22bf,over ear headphones
e2115c41-7478-4de9-91ca-9bd427f9869c,bookshelf shelving unit
